long,lat,group,order,region,subregion
-85.75459289550781,33.563865661621094,8,423,alabama,calhoun
-85.80043029785156,33.558135986328125,8,424,alabama,calhoun
-85.80043029785156,33.58678436279297,8,425,alabama,calhoun
-85.98950958251953,33.5925178527832,8,426,alabama,calhoun
-85.98950958251953,33.603973388671875,8,427,alabama,calhoun
-86.0066909790039,33.61543655395508,8,428,alabama,calhoun
-86.02388000488281,33.63262176513672,8,429,alabama,calhoun
-86.04679870605469,33.6727294921875,8,430,alabama,calhoun
-86.06971740722656,33.68418884277344,8,431,alabama,calhoun
-86.08118438720703,33.689918518066406,8,432,alabama,calhoun
-86.149932861328125,33.68418884277344,8,433,alabama,calhoun
-86.149932861328125,33.695648193359375,8,434,alabama,calhoun
-86.14420318603516,33.70710754394531,8,435,alabama,calhoun
-86.14420318603516,33.71856689453125,8,436,alabama,calhoun
-86.09263610839844,33.747215270996094,8,437,alabama,calhoun
-86.0869140625,33.75294494628906,8,438,alabama,calhoun
-86.06971740722656,33.764400482177734,8,439,alabama,calhoun
-86.05252838134766,33.764400482177734,8,440,alabama,calhoun
-86.04679870605469,33.77013397216797,8,441,alabama,calhoun
-86.04679870605469,33.781593322753906,8,442,alabama,calhoun
-86.058258056640625,33.810237884521484,8,443,alabama,calhoun
-86.058258056640625,33.83315658569336,8,444,alabama,calhoun
-86.0639877319336,33.83888626098633,8,445,alabama,calhoun
-86.04679870605469,33.850345611572266,8,446,alabama,calhoun
-86.04679870605469,33.856075286865234,8,447,alabama,calhoun
-86.01815032958984,33.856075286865234,8,448,alabama,calhoun
-86.01815032958984,33.86753463745117,8,449,alabama,calhoun
-85.9952392578125,33.86753463745117,8,450,alabama,calhoun
-85.9952392578125,33.87899398803711,8,451,alabama,calhoun
-85.98377990722656,33.87899398803711,8,452,alabama,calhoun
-85.98377990722656,33.896183013916016,8,453,alabama,calhoun
-85.9723129272461,33.896183013916016,8,454,alabama,calhoun
-85.966583251953125,33.91337203979492,8,455,alabama,calhoun
-85.95513153076172,33.91910171508789,8,456,alabama,calhoun
-85.95513153076172,33.92483139038086,8,457,alabama,calhoun
-85.93220520019531,33.92483139038086,8,458,alabama,calhoun
-85.92647552490234,33.90764236450195,8,459,alabama,calhoun
-85.89783477783203,33.90764236450195,8,460,alabama,calhoun
-85.89210510253906,33.942020416259766,8,461,alabama,calhoun
-85.87491607666016,33.942020416259766,8,462,alabama,calhoun
-85.87491607666016,33.94774627685547,8,463,alabama,calhoun
-85.84626770019531,33.94774627685547,8,464,alabama,calhoun
-85.84626770019531,33.96493911743164,8,465,alabama,calhoun
-85.7947006225586,33.96493911743164,8,466,alabama,calhoun
-85.788970947265625,33.9534797668457,8,467,alabama,calhoun
-85.743133544921875,33.9534797668457,8,468,alabama,calhoun
-85.743133544921875,33.96493911743164,8,469,alabama,calhoun
-85.59416198730469,33.105499267578125,9,471,alabama,chambers
-85.23892974853516,33.105499267578125,9,472,alabama,chambers
-85.1930923461914,32.87059020996094,9,473,alabama,chambers
-85.1930923461914,32.859127044677734,9,474,alabama,chambers
-85.17018127441406,32.841941833496094,9,475,alabama,chambers
-85.14725494384766,32.790374755859375,9,476,alabama,chambers
-85.13007354736328,32.7674560546875,9,477,alabama,chambers
-85.13007354736328,32.750267028808594,9,478,alabama,chambers
-85.290496826171875,32.750267028808594,9,479,alabama,chambers
-85.29622650146484,32.738807678222656,9,480,alabama,chambers
-85.40509033203125,32.738807678222656,9,481,alabama,chambers
-85.41082000732422,32.744537353515625,9,482,alabama,chambers
-85.41654968261719,32.744537353515625,9,483,alabama,chambers
-85.41654968261719,32.75599670410156,9,484,alabama,chambers
-85.43373107910156,32.750267028808594,9,485,alabama,chambers
